,keyword,company,종목코드
354,반도체,지니틱스,303030
355,반도체,레이크머티리얼즈,281740
356,반도체,이녹스첨단소재,272290
357,반도체,필옵틱스,161580
358,반도체,포인트엔지니어링,256630
359,반도체,하나머티리얼즈,166090
360,반도체,와이엠티,251370
361,반도체,오션브릿지,241790
362,반도체,럭스피아,92590
363,반도체,칩스앤미디어,94360
364,반도체,동운아나텍,94170
365,반도체,에스엘바이오닉스,214310
366,반도체,에이팩트,200470
367,반도체,에이디테크놀로지,200710
368,반도체,아이케이세미콘,149010
369,반도체,테라셈,182690
370,반도체,아진엑스텍,59120
371,반도체,기가레인,49080
372,반도체,윈팩,97800
373,반도체,우리이앤엘,153490
374,반도체,에이티세미콘,89530
375,반도체,나노신소재,121600
376,반도체,엘비세미콘,61970
377,반도체,인텍플러스,64290
378,반도체,시그네틱스,33170
379,반도체,아나패스,123860
380,반도체,아이텍,119830
381,반도체,알파홀딩스,117670
382,반도체,LX세미콘,108320
383,반도체,이미지스,115610
384,반도체,아이앤씨,52860
385,반도체,어보브반도체,102120
386,반도체,엔시트론,101400
387,반도체,엘디티,96870
388,반도체,알에프세미,96610
389,반도체,다믈멀티미디어,93640
390,반도체,오디텍,80520
391,반도체,앤씨앤,92600
392,반도체,큐에스아이,66310
393,반도체,KEC,92220
394,반도체,루멘스,38060
395,반도체,티엘아이,62860
396,반도체,비보존 헬스케어,82800
397,반도체,덕산하이메탈,77360
398,반도체,하나마이크론,67310
399,반도체,제주반도체,80220
400,반도체,텔레칩스,54450
401,반도체,한양디지텍,78350
402,반도체,바른전자,64520
403,반도체,파커스,65690
404,반도체,서울반도체,46890
405,반도체,미코,59090
406,반도체,일진디스플,20760
407,반도체,크로바하이텍,43590
408,반도체,에스에프에이,56190
409,반도체,리노공업,58470
410,반도체,SFA반도체,36540
411,반도체,코아시아,45970
412,반도체,클라우드에어,36170
413,반도체,네패스,33640
414,반도체,위지트,36090
415,반도체,피델릭스,32580
416,반도체,SK하이닉스,660
417,반도체,광전자,17900
418,반도체,신성이엔지,11930
419,반도체,와이투솔루션,11690
420,반도체,DB하이텍,990
421,필터,피코그램,376180
422,필터,한독크린텍,256150
423,필터,시노펙스,25320
424,배터리,N,0
425,무선,N,0
426,자동,N,0
427,충전,N,0
428,성형,N,0
429,네트워크,N,0
430,메모리,N,0
431,채널,N,0
432,터치,N,0
433,송신,N,0
434,전류,N,0
435,카메라,엠씨넥스,97520
436,카메라,에이치엔티,176440
437,카메라,뉴지랩파마,214870
438,카메라,세코닉스,53450
439,치료,N,0
440,냉각,N,0
441,예측,N,0
442,마스크,N,0
443,학습,N,0
444,주행,N,0
445,에너지,N,0
446,촬영,N,0
447,챔버,N,0
448,인식,N,0
449,탄성,N,0
450,연료,대성산업,128820
451,연료,대한그린파워,60900
452,연료,위즈코프,38620
453,연료,대성홀딩스,16710
454,생산,도부마스크,227420
455,생산,포스코엠텍,9520
456,생산,동아쏘시오홀딩스,640
457,섬유,N,0
